epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1558.98,0.8662,0.95596,1.29385,0.5307,0.55439,0.52597,0.3037,1.48388,1.79027,2.08835,0.000306628,0.000306628,0.000306628
63,1582.4,0.83999,0.93161,1.26926,0.49986,0.59479,0.53416,0.3104,1.47422,1.82911,2.09087,0.000293406,0.000293406,0.000293406
64,1606.08,0.86597,0.95621,1.29206,0.49823,0.596,0.53732,0.31501,1.4575,1.81012,2.05639,0.000280346,0.000280346,0.000280346
65,1629.65,0.84015,0.93249,1.272,0.56782,0.53975,0.53014,0.3125,1.46034,1.81058,2.07655,0.000267463,0.000267463,0.000267463
66,1653.8,0.82824,0.90358,1.26083,0.48877,0.59215,0.52856,0.31271,1.48887,1.85839,2.12179,0.00025477,0.00025477,0.00025477
67,1678.16,0.82459,0.88687,1.26001,0.52891,0.56861,0.53335,0.32025,1.46597,1.86015,2.08402,0.000242278,0.000242278,0.000242278
68,1702.74,0.82146,0.90784,1.25586,0.47817,0.59531,0.52152,0.30828,1.45023,1.83766,2.05104,0.000229999,0.000229999,0.000229999
69,1727.98,0.81696,0.90519,1.25775,0.53169,0.55125,0.54797,0.31829,1.47218,1.82908,2.10664,0.000217947,0.000217947,0.000217947
70,1754.21,0.80815,0.88377,1.25164,0.49675,0.59912,0.55511,0.33025,1.44807,1.79224,2.10043,0.000206133,0.000206133,0.000206133
71,1783.63,0.81027,0.87897,1.25319,0.54003,0.56153,0.53931,0.32471,1.46688,1.81349,2.10213,0.000194568,0.000194568,0.000194568
72,1807.69,0.80488,0.86134,1.24182,0.54685,0.53185,0.53622,0.31819,1.45455,1.84511,2.06495,0.000183264,0.000183264,0.000183264
73,1832.72,0.80744,0.88207,1.24894,0.58348,0.52102,0.5458,0.32207,1.44839,1.84817,2.09147,0.000172233,0.000172233,0.000172233
74,1857.42,0.789,0.85585,1.22972,0.50321,0.56984,0.5394,0.3225,1.44954,1.8473,2.10167,0.000161484,0.000161484,0.000161484
75,1881.83,0.79794,0.8748,1.23437,0.52111,0.57665,0.53023,0.31289,1.45469,1.84286,2.12613,0.00015103,0.00015103,0.00015103
76,1906.34,0.77769,0.81627,1.22254,0.53374,0.52769,0.52628,0.31458,1.44857,1.85689,2.09372,0.000140879,0.000140879,0.000140879
77,1934.77,0.7826,0.82398,1.23653,0.56773,0.52229,0.53455,0.31624,1.44001,1.8454,2.10721,0.000131042,0.000131042,0.000131042
78,1961.14,0.77318,0.82295,1.22282,0.57799,0.51765,0.54253,0.3196,1.44604,1.85512,2.10901,0.000121529,0.000121529,0.000121529
79,1990.68,0.77641,0.8221,1.23216,0.56132,0.52789,0.52815,0.31452,1.43505,1.89036,2.08136,0.000112349,0.000112349,0.000112349
80,2028.36,0.77101,0.82499,1.2181,0.51771,0.57097,0.5267,0.3184,1.44531,1.89726,2.12526,0.000103511,0.000103511,0.000103511
81,2067.22,0.7575,0.82463,1.21481,0.51104,0.57524,0.5266,0.31712,1.44245,1.91558,2.10597,9.50238e-05,9.50238e-05,9.50238e-05
82,2101.47,0.77259,0.82808,1.22292,0.48706,0.59658,0.5265,0.31731,1.45928,1.87043,2.15398,8.6896e-05,8.6896e-05,8.6896e-05
83,2129.85,0.74276,0.79522,1.20624,0.54647,0.51809,0.52974,0.31867,1.45987,1.87161,2.1485,7.91354e-05,7.91354e-05,7.91354e-05
84,2156,0.76764,0.81713,1.22081,0.51327,0.57993,0.52577,0.31836,1.46094,1.88074,2.1488,7.17498e-05,7.17498e-05,7.17498e-05
85,2182.52,0.75195,0.79643,1.20487,0.51505,0.57406,0.52023,0.31387,1.46326,1.88626,2.15795,6.47464e-05,6.47464e-05,6.47464e-05
86,2210.92,0.75253,0.80091,1.20937,0.51173,0.58079,0.52665,0.31507,1.45543,1.86644,2.14378,5.81322e-05,5.81322e-05,5.81322e-05
87,2237.95,0.73719,0.76868,1.19943,0.52215,0.5818,0.52759,0.31824,1.45485,1.90335,2.14789,5.19135e-05,5.19135e-05,5.19135e-05
88,2265.5,0.73184,0.77093,1.1994,0.49136,0.60704,0.52476,0.31273,1.45311,1.91667,2.1454,4.60967e-05,4.60967e-05,4.60967e-05
89,2294.45,0.74058,0.78206,1.20029,0.50036,0.58451,0.52845,0.31931,1.44943,1.90656,2.13948,4.06874e-05,4.06874e-05,4.06874e-05
90,2322.49,0.73154,0.75844,1.20018,0.50787,0.58654,0.53013,0.31827,1.45597,1.92286,2.15006,3.5691e-05,3.5691e-05,3.5691e-05
