epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2811.05,0.93217,0.80036,1.30354,0.85182,0.86218,0.9011,0.64163,0.92318,0.73673,1.36471,0.000174262,0.000174262,0.000174262
82,2826.19,0.93263,0.79884,1.30517,0.87752,0.87681,0.90494,0.647,0.94817,0.74404,1.37769,0.000159357,0.000159357,0.000159357
83,2841.57,0.91952,0.79106,1.29041,0.89216,0.87667,0.90634,0.64109,0.95116,0.74876,1.38284,0.000145125,0.000145125,0.000145125
84,2857.08,0.93923,0.81334,1.31429,0.85882,0.90273,0.91321,0.64725,0.94101,0.72517,1.37338,0.000131581,0.000131581,0.000131581
85,2872.35,0.9316,0.79916,1.30536,0.90571,0.86431,0.90931,0.64765,0.96072,0.72258,1.39447,0.000118737,0.000118737,0.000118737
86,2887.55,0.92532,0.7891,1.29241,0.86253,0.87863,0.91562,0.65148,0.94726,0.70468,1.39042,0.000106608,0.000106608,0.000106608
87,2902.84,0.93393,0.80098,1.30219,0.85249,0.88854,0.91155,0.65182,0.94409,0.71116,1.37783,9.52034e-05,9.52034e-05,9.52034e-05
88,2917.9,0.93688,0.79859,1.30048,0.8591,0.88262,0.91077,0.65626,0.93511,0.69787,1.37265,8.4536e-05,8.4536e-05,8.4536e-05
89,2933.46,0.93556,0.80944,1.30462,0.84909,0.90852,0.9224,0.65666,0.9449,0.69212,1.38037,7.4616e-05,7.4616e-05,7.4616e-05
90,2948.28,0.91506,0.77334,1.29843,0.87848,0.8936,0.92108,0.6558,0.95535,0.69636,1.39047,6.54531e-05,6.54531e-05,6.54531e-05
91,2965.66,0.72392,0.91249,1.20044,0.87416,0.83169,0.87629,0.61661,1.00012,0.96659,1.45376,5.70564e-05,5.70564e-05,5.70564e-05
92,2977.13,0.67857,0.62318,1.16044,0.88658,0.81127,0.88667,0.62481,0.96978,0.81922,1.41958,4.94343e-05,4.94343e-05,4.94343e-05
93,2988.6,0.6573,0.55338,1.16861,0.85571,0.87224,0.8959,0.63544,0.95874,0.76654,1.40597,4.25941e-05,4.25941e-05,4.25941e-05
94,2999.93,0.65227,0.49946,1.14626,0.87285,0.85395,0.89809,0.64127,0.96162,0.74724,1.41231,3.65426e-05,3.65426e-05,3.65426e-05
95,3011.48,0.64154,0.48904,1.13675,0.90086,0.84785,0.89955,0.63982,0.95164,0.72558,1.40223,3.12859e-05,3.12859e-05,3.12859e-05
96,3022.83,0.64681,0.49034,1.1433,0.88501,0.84698,0.90575,0.6455,0.95476,0.71266,1.40094,2.68292e-05,2.68292e-05,2.68292e-05
97,3034.19,0.63834,0.46219,1.14105,0.89623,0.82522,0.90469,0.64543,0.94685,0.71363,1.39938,2.31767e-05,2.31767e-05,2.31767e-05
98,3045.45,0.6425,0.46301,1.14473,0.89303,0.85769,0.90843,0.64448,0.94864,0.69943,1.40411,2.03321e-05,2.03321e-05,2.03321e-05
99,3056.95,0.61199,0.44058,1.12479,0.89157,0.84785,0.90298,0.64487,0.94683,0.70816,1.40047,1.82983e-05,1.82983e-05,1.82983e-05
100,3068.48,0.63118,0.45214,1.13436,0.90409,0.83792,0.90366,0.6477,0.94825,0.70289,1.40118,1.70772e-05,1.70772e-05,1.70772e-05
