epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3090.8,0.45713,0.34728,0.94788,0.93945,0.94982,0.9712,0.87945,0.49408,0.32146,0.97296,2.41387e-05,2.41387e-05,2.41387e-05
89,3125.3,0.46554,0.3626,0.95082,0.94992,0.94029,0.97177,0.8821,0.49672,0.32268,0.97441,2.13061e-05,2.13061e-05,2.13061e-05
90,3156.85,0.45804,0.35097,0.94783,0.95099,0.93862,0.97328,0.88262,0.49215,0.32425,0.97387,1.86897e-05,1.86897e-05,1.86897e-05
91,3193.24,0.36042,0.2039,0.88338,0.9535,0.93216,0.96942,0.87347,0.50203,0.32557,0.98308,1.62921e-05,1.62921e-05,1.62921e-05
92,3223.27,0.36072,0.2043,0.8885,0.94804,0.94052,0.9708,0.87371,0.50193,0.32038,0.985,1.41156e-05,1.41156e-05,1.41156e-05
93,3253.56,0.35131,0.19861,0.88007,0.95655,0.93791,0.97115,0.87653,0.50164,0.32202,0.98263,1.21624e-05,1.21624e-05,1.21624e-05
94,3284.46,0.3473,0.19542,0.87638,0.95823,0.93439,0.97062,0.87601,0.49946,0.31514,0.98232,1.04345e-05,1.04345e-05,1.04345e-05
95,3315.01,0.34996,0.19625,0.87419,0.95908,0.93605,0.97104,0.87839,0.4998,0.31346,0.98063,8.93348e-06,8.93348e-06,8.93348e-06
96,3345.25,0.34441,0.19311,0.87288,0.95914,0.93226,0.97092,0.87888,0.49748,0.31444,0.97925,7.66087e-06,7.66087e-06,7.66087e-06
97,3374.41,0.34088,0.19552,0.87837,0.95832,0.93591,0.9708,0.87819,0.49795,0.31535,0.97874,6.61793e-06,6.61793e-06,6.61793e-06
98,3404.15,0.34673,0.19756,0.87923,0.96285,0.93112,0.97117,0.87966,0.49758,0.31005,0.97845,5.80569e-06,5.80569e-06,5.80569e-06
99,3433.99,0.34547,0.19327,0.87881,0.96125,0.93248,0.97009,0.87685,0.49691,0.31302,0.97847,5.22494e-06,5.22494e-06,5.22494e-06
100,3463.64,0.33907,0.19004,0.87623,0.96108,0.93195,0.97002,0.87764,0.49718,0.31484,0.97851,4.87626e-06,4.87626e-06,4.87626e-06
