epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4698.31,0.54471,0.41565,0.993,0.97137,0.95444,0.98269,0.85862,0.53943,0.31217,0.99714,7.11708e-05,7.11708e-05,7.11708e-05
81,4749.44,0.54485,0.40843,0.99405,0.96683,0.96595,0.98027,0.85778,0.54306,0.30573,0.99044,6.53354e-05,6.53354e-05,6.53354e-05
82,4799.97,0.53536,0.40435,0.99213,0.9698,0.95915,0.98075,0.85985,0.53839,0.30631,0.98871,5.97469e-05,5.97469e-05,5.97469e-05
83,4850.11,0.52655,0.39209,0.9836,0.96429,0.95951,0.98222,0.86613,0.53031,0.30796,0.99087,5.4411e-05,5.4411e-05,5.4411e-05
84,4904.03,0.5351,0.39038,0.98682,0.96236,0.95491,0.97984,0.86036,0.53892,0.31814,0.98758,4.93329e-05,4.93329e-05,4.93329e-05
85,4959.28,0.52994,0.38347,0.98258,0.96305,0.96667,0.97871,0.86066,0.52871,0.31057,0.98719,4.45176e-05,4.45176e-05,4.45176e-05
86,5015.03,0.53314,0.38908,0.9882,0.96063,0.96985,0.97953,0.86208,0.53267,0.30809,0.98795,3.99699e-05,3.99699e-05,3.99699e-05
87,5070.49,0.52567,0.3843,0.98442,0.96406,0.96163,0.98046,0.86169,0.53591,0.30684,0.99053,3.56941e-05,3.56941e-05,3.56941e-05
88,5123.22,0.52227,0.38695,0.98411,0.97093,0.96232,0.98172,0.86293,0.53088,0.30298,0.99216,3.16947e-05,3.16947e-05,3.16947e-05
89,5178.2,0.52205,0.38354,0.97943,0.97011,0.96348,0.98145,0.86411,0.52457,0.30113,0.98885,2.79754e-05,2.79754e-05,2.79754e-05
90,5232.32,0.52,0.3829,0.98622,0.96951,0.96912,0.98094,0.8644,0.52764,0.2995,0.98843,2.454e-05,2.454e-05,2.454e-05
91,5282.26,0.41504,0.23473,0.92717,0.96913,0.96698,0.97426,0.8517,0.53446,0.31869,0.99645,2.13919e-05,2.13919e-05,2.13919e-05
92,5329.7,0.40782,0.22629,0.92057,0.96761,0.96787,0.97625,0.85462,0.53336,0.31625,0.99454,1.85341e-05,1.85341e-05,1.85341e-05
93,5378.36,0.40167,0.2231,0.91514,0.96735,0.96672,0.97802,0.85701,0.53345,0.3146,0.9939,1.59696e-05,1.59696e-05,1.59696e-05
94,5425.29,0.3945,0.22401,0.91189,0.9727,0.96748,0.97876,0.85889,0.52959,0.31011,0.9911,1.37008e-05,1.37008e-05,1.37008e-05
95,5471.22,0.4009,0.21846,0.91077,0.97152,0.96727,0.97864,0.85992,0.5262,0.30902,0.99282,1.17299e-05,1.17299e-05,1.17299e-05
96,5518.53,0.39349,0.21883,0.90956,0.97288,0.96736,0.97949,0.85828,0.53173,0.30943,0.99061,1.00589e-05,1.00589e-05,1.00589e-05
97,5564.3,0.39358,0.21417,0.90817,0.97166,0.96791,0.97921,0.86106,0.52324,0.30727,0.9901,8.68951e-06,8.68951e-06,8.68951e-06
98,5612.35,0.403,0.221,0.91687,0.97281,0.96997,0.97918,0.85959,0.52756,0.30704,0.98951,7.62302e-06,7.62302e-06,7.62302e-06
99,5659.78,0.39718,0.21682,0.91159,0.97103,0.96741,0.97929,0.86178,0.52454,0.3079,0.9893,6.86048e-06,6.86048e-06,6.86048e-06
100,5707.02,0.39307,0.21295,0.90766,0.97165,0.96888,0.97976,0.86131,0.52511,0.30636,0.98877,6.40266e-06,6.40266e-06,6.40266e-06
